Season,ISOyear,ISOweek,WeekBeginning,WeekEnding,Country,Pathogen,NumberAdmissionsPerWeek,RateAdmissionsPerWeek,Population
2021/22,2022,6,20220207,20220213,S92000003,Seasonal coronavirus,11,0.2,5412900
2021/22,2022,7,20220214,20220220,S92000003,Adenovirus,49,0.9,5412900
2021/22,2022,7,20220214,20220220,S92000003,COVID-19,481,8.9,5412900
2021/22,2022,7,20220214,20220220,S92000003,HMPV,9,0.2,5412900
2021/22,2022,7,20220214,20220220,S92000003,Influenza (All),24,0.4,5412900
2021/22,2022,7,20220214,20220220,S92000003,Influenza A,23,0.4,5412900
2021/22,2022,7,20220214,20220220,S92000003,Influenza B,1,0,5412900
2021/22,2022,7,20220214,20220220,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,7,20220214,20220220,S92000003,Parainfluenza (Any Type),8,0.1,5412900
2021/22,2022,7,20220214,20220220,S92000003,RSV,5,0.1,5412900
2021/22,2022,7,20220214,20220220,S92000003,Rhinovirus,90,1.7,5412900
2021/22,2022,7,20220214,20220220,S92000003,Seasonal coronavirus,16,0.3,5412900
2021/22,2022,8,20220221,20220227,S92000003,Adenovirus,58,1.1,5412900
2021/22,2022,8,20220221,20220227,S92000003,COVID-19,587,10.8,5412900
2021/22,2022,8,20220221,20220227,S92000003,HMPV,8,0.1,5412900
2021/22,2022,8,20220221,20220227,S92000003,Influenza (All),35,0.6,5412900
2021/22,2022,8,20220221,20220227,S92000003,Influenza A,35,0.6,5412900
2021/22,2022,8,20220221,20220227,S92000003,Influenza B,0,0,5412900
2021/22,2022,8,20220221,20220227,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,8,20220221,20220227,S92000003,Parainfluenza (Any Type),12,0.2,5412900
2021/22,2022,8,20220221,20220227,S92000003,RSV,5,0.1,5412900
2021/22,2022,8,20220221,20220227,S92000003,Rhinovirus,92,1.7,5412900
2021/22,2022,8,20220221,20220227,S92000003,Seasonal coronavirus,15,0.3,5412900
2021/22,2022,9,20220228,20220306,S92000003,Adenovirus,59,1.1,5412900
2021/22,2022,9,20220228,20220306,S92000003,COVID-19,606,11.2,5412900
2021/22,2022,9,20220228,20220306,S92000003,HMPV,13,0.2,5412900
2021/22,2022,9,20220228,20220306,S92000003,Influenza (All),46,0.8,5412900
2021/22,2022,9,20220228,20220306,S92000003,Influenza A,46,0.8,5412900
2021/22,2022,9,20220228,20220306,S92000003,Influenza B,0,0,5412900
2021/22,2022,9,20220228,20220306,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,9,20220228,20220306,S92000003,Parainfluenza (Any Type),17,0.3,5412900
2021/22,2022,9,20220228,20220306,S92000003,RSV,8,0.1,5412900
2021/22,2022,9,20220228,20220306,S92000003,Rhinovirus,109,2,5412900
2021/22,2022,9,20220228,20220306,S92000003,Seasonal coronavirus,8,0.1,5412900
2021/22,2022,10,20220307,20220313,S92000003,Adenovirus,47,0.9,5412900
2021/22,2022,10,20220307,20220313,S92000003,COVID-19,804,14.9,5412900
2021/22,2022,10,20220307,20220313,S92000003,HMPV,7,0.1,5412900
2021/22,2022,10,20220307,20220313,S92000003,Influenza (All),51,0.9,5412900
2021/22,2022,10,20220307,20220313,S92000003,Influenza A,51,0.9,5412900
2021/22,2022,10,20220307,20220313,S92000003,Influenza B,0,0,5412900
2021/22,2022,10,20220307,20220313,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,10,20220307,20220313,S92000003,Parainfluenza (Any Type),15,0.3,5412900
2021/22,2022,10,20220307,20220313,S92000003,RSV,8,0.1,5412900
2021/22,2022,10,20220307,20220313,S92000003,Rhinovirus,89,1.6,5412900
2021/22,2022,10,20220307,20220313,S92000003,Seasonal coronavirus,18,0.3,5412900
2021/22,2022,11,20220314,20220320,S92000003,Adenovirus,32,0.6,5412900
2021/22,2022,11,20220314,20220320,S92000003,COVID-19,922,17,5412900
2021/22,2022,11,20220314,20220320,S92000003,HMPV,4,0.1,5412900
2021/22,2022,11,20220314,20220320,S92000003,Influenza (All),65,1.2,5412900
2021/22,2022,11,20220314,20220320,S92000003,Influenza A,65,1.2,5412900
2021/22,2022,11,20220314,20220320,S92000003,Influenza B,0,0,5412900
2021/22,2022,11,20220314,20220320,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,11,20220314,20220320,S92000003,Parainfluenza (Any Type),17,0.3,5412900
2021/22,2022,11,20220314,20220320,S92000003,RSV,15,0.3,5412900
2021/22,2022,11,20220314,20220320,S92000003,Rhinovirus,57,1.1,5412900
2021/22,2022,11,20220314,20220320,S92000003,Seasonal coronavirus,16,0.3,5412900
2021/22,2022,12,20220321,20220327,S92000003,Adenovirus,44,0.8,5412900
2021/22,2022,12,20220321,20220327,S92000003,COVID-19,891,16.5,5412900
2021/22,2022,12,20220321,20220327,S92000003,HMPV,1,0,5412900
2021/22,2022,12,20220321,20220327,S92000003,Influenza (All),61,1.1,5412900
2021/22,2022,12,20220321,20220327,S92000003,Influenza A,61,1.1,5412900
2021/22,2022,12,20220321,20220327,S92000003,Influenza B,0,0,5412900
2021/22,2022,12,20220321,20220327,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,12,20220321,20220327,S92000003,Parainfluenza (Any Type),17,0.3,5412900
2021/22,2022,12,20220321,20220327,S92000003,RSV,9,0.2,5412900
2021/22,2022,12,20220321,20220327,S92000003,Rhinovirus,81,1.5,5412900
2021/22,2022,12,20220321,20220327,S92000003,Seasonal coronavirus,23,0.4,5412900
2021/22,2022,13,20220328,20220403,S92000003,Adenovirus,29,0.5,5412900
2021/22,2022,13,20220328,20220403,S92000003,COVID-19,833,15.4,5412900
2021/22,2022,13,20220328,20220403,S92000003,HMPV,6,0.1,5412900
2021/22,2022,13,20220328,20220403,S92000003,Influenza (All),51,0.9,5412900
2021/22,2022,13,20220328,20220403,S92000003,Influenza A,51,0.9,5412900
2021/22,2022,13,20220328,20220403,S92000003,Influenza B,0,0,5412900
2021/22,2022,13,20220328,20220403,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,13,20220328,20220403,S92000003,Parainfluenza (Any Type),16,0.3,5412900
2021/22,2022,13,20220328,20220403,S92000003,RSV,8,0.1,5412900
2021/22,2022,13,20220328,20220403,S92000003,Rhinovirus,70,1.3,5412900
2021/22,2022,13,20220328,20220403,S92000003,Seasonal coronavirus,36,0.7,5412900
2021/22,2022,14,20220404,20220410,S92000003,Adenovirus,53,1,5412900
2021/22,2022,14,20220404,20220410,S92000003,COVID-19,711,13.1,5412900
2021/22,2022,14,20220404,20220410,S92000003,HMPV,5,0.1,5412900
2021/22,2022,14,20220404,20220410,S92000003,Influenza (All),64,1.2,5412900
2021/22,2022,14,20220404,20220410,S92000003,Influenza A,64,1.2,5412900
2021/22,2022,14,20220404,20220410,S92000003,Influenza B,0,0,5412900
2021/22,2022,14,20220404,20220410,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,14,20220404,20220410,S92000003,Parainfluenza (Any Type),19,0.4,5412900
2021/22,2022,14,20220404,20220410,S92000003,RSV,7,0.1,5412900
2021/22,2022,14,20220404,20220410,S92000003,Rhinovirus,68,1.3,5412900
2021/22,2022,14,20220404,20220410,S92000003,Seasonal coronavirus,22,0.4,5412900
2021/22,2022,15,20220411,20220417,S92000003,Adenovirus,42,0.8,5412900
2021/22,2022,15,20220411,20220417,S92000003,COVID-19,573,10.6,5412900
2021/22,2022,15,20220411,20220417,S92000003,HMPV,3,0.1,5412900
2021/22,2022,15,20220411,20220417,S92000003,Influenza (All),48,0.9,5412900
2021/22,2022,15,20220411,20220417,S92000003,Influenza A,48,0.9,5412900
2021/22,2022,15,20220411,20220417,S92000003,Influenza B,0,0,5412900
2021/22,2022,15,20220411,20220417,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,15,20220411,20220417,S92000003,Parainfluenza (Any Type),20,0.4,5412900
2021/22,2022,15,20220411,20220417,S92000003,RSV,13,0.2,5412900
2021/22,2022,15,20220411,20220417,S92000003,Rhinovirus,65,1.2,5412900
2021/22,2022,15,20220411,20220417,S92000003,Seasonal coronavirus,28,0.5,5412900
2021/22,2022,16,20220418,20220424,S92000003,Adenovirus,33,0.6,5412900
2021/22,2022,16,20220418,20220424,S92000003,COVID-19,445,8.2,5412900
2021/22,2022,16,20220418,20220424,S92000003,HMPV,2,0,5412900
2021/22,2022,16,20220418,20220424,S92000003,Influenza (All),49,0.9,5412900
2021/22,2022,16,20220418,20220424,S92000003,Influenza A,49,0.9,5412900
2021/22,2022,16,20220418,20220424,S92000003,Influenza B,0,0,5412900
2021/22,2022,16,20220418,20220424,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,16,20220418,20220424,S92000003,Parainfluenza (Any Type),16,0.3,5412900
2021/22,2022,16,20220418,20220424,S92000003,RSV,16,0.3,5412900
2021/22,2022,16,20220418,20220424,S92000003,Rhinovirus,56,1,5412900
2021/22,2022,16,20220418,20220424,S92000003,Seasonal coronavirus,16,0.3,5412900
2021/22,2022,17,20220425,20220501,S92000003,Adenovirus,49,0.9,5412900
2021/22,2022,17,20220425,20220501,S92000003,COVID-19,357,6.6,5412900
2021/22,2022,17,20220425,20220501,S92000003,HMPV,2,0,5412900
2021/22,2022,17,20220425,20220501,S92000003,Influenza (All),40,0.7,5412900
2021/22,2022,17,20220425,20220501,S92000003,Influenza A,40,0.7,5412900
2021/22,2022,17,20220425,20220501,S92000003,Influenza B,0,0,5412900
2021/22,2022,17,20220425,20220501,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,17,20220425,20220501,S92000003,Parainfluenza (Any Type),23,0.4,5412900
2021/22,2022,17,20220425,20220501,S92000003,RSV,10,0.2,5412900
2021/22,2022,17,20220425,20220501,S92000003,Rhinovirus,71,1.3,5412900
2021/22,2022,17,20220425,20220501,S92000003,Seasonal coronavirus,17,0.3,5412900
2021/22,2022,18,20220502,20220508,S92000003,Adenovirus,37,0.7,5412900
2021/22,2022,18,20220502,20220508,S92000003,COVID-19,283,5.2,5412900
2021/22,2022,18,20220502,20220508,S92000003,HMPV,2,0,5412900
2021/22,2022,18,20220502,20220508,S92000003,Influenza (All),44,0.8,5412900
2021/22,2022,18,20220502,20220508,S92000003,Influenza A,43,0.8,5412900
2021/22,2022,18,20220502,20220508,S92000003,Influenza B,1,0,5412900
2021/22,2022,18,20220502,20220508,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,18,20220502,20220508,S92000003,Parainfluenza (Any Type),19,0.4,5412900
2021/22,2022,18,20220502,20220508,S92000003,RSV,19,0.4,5412900
2021/22,2022,18,20220502,20220508,S92000003,Rhinovirus,78,1.4,5412900
2021/22,2022,18,20220502,20220508,S92000003,Seasonal coronavirus,15,0.3,5412900
2021/22,2022,19,20220509,20220515,S92000003,Adenovirus,19,0.4,5412900
2021/22,2022,19,20220509,20220515,S92000003,COVID-19,293,5.4,5412900
2021/22,2022,19,20220509,20220515,S92000003,HMPV,0,0,5412900
2021/22,2022,19,20220509,20220515,S92000003,Influenza (All),42,0.8,5412900
2021/22,2022,19,20220509,20220515,S92000003,Influenza A,40,0.7,5412900
2021/22,2022,19,20220509,20220515,S92000003,Influenza B,2,0,5412900
2021/22,2022,19,20220509,20220515,S92000003,Mycoplasma pneumoniae,1,0,5412900
2021/22,2022,19,20220509,20220515,S92000003,Parainfluenza (Any Type),19,0.4,5412900
2021/22,2022,19,20220509,20220515,S92000003,RSV,25,0.5,5412900
2021/22,2022,19,20220509,20220515,S92000003,Rhinovirus,97,1.8,5412900
2021/22,2022,19,20220509,20220515,S92000003,Seasonal coronavirus,25,0.5,5412900
2021/22,2022,20,20220516,20220522,S92000003,Adenovirus,19,0.4,5412900
2021/22,2022,20,20220516,20220522,S92000003,COVID-19,219,4,5412900
2021/22,2022,20,20220516,20220522,S92000003,HMPV,3,0.1,5412900
2021/22,2022,20,20220516,20220522,S92000003,Influenza (All),33,0.6,5412900
2021/22,2022,20,20220516,20220522,S92000003,Influenza A,33,0.6,5412900
2021/22,2022,20,20220516,20220522,S92000003,Influenza B,0,0,5412900
2021/22,2022,20,20220516,20220522,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,20,20220516,20220522,S92000003,Parainfluenza (Any Type),23,0.4,5412900
2021/22,2022,20,20220516,20220522,S92000003,RSV,24,0.4,5412900
2021/22,2022,20,20220516,20220522,S92000003,Rhinovirus,98,1.8,5412900
2021/22,2022,20,20220516,20220522,S92000003,Seasonal coronavirus,17,0.3,5412900
2021/22,2022,21,20220523,20220529,S92000003,Adenovirus,29,0.5,5412900
2021/22,2022,21,20220523,20220529,S92000003,COVID-19,259,4.8,5412900
2021/22,2022,21,20220523,20220529,S92000003,HMPV,2,0,5412900
2021/22,2022,21,20220523,20220529,S92000003,Influenza (All),25,0.5,5412900
2021/22,2022,21,20220523,20220529,S92000003,Influenza A,25,0.5,5412900
2021/22,2022,21,20220523,20220529,S92000003,Influenza B,0,0,5412900
2021/22,2022,21,20220523,20220529,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,21,20220523,20220529,S92000003,Parainfluenza (Any Type),21,0.4,5412900
2021/22,2022,21,20220523,20220529,S92000003,RSV,37,0.7,5412900
2021/22,2022,21,20220523,20220529,S92000003,Rhinovirus,91,1.7,5412900
2021/22,2022,21,20220523,20220529,S92000003,Seasonal coronavirus,9,0.2,5412900
2021/22,2022,22,20220530,20220605,S92000003,Adenovirus,24,0.4,5412900
2021/22,2022,22,20220530,20220605,S92000003,COVID-19,300,5.5,5412900
2021/22,2022,22,20220530,20220605,S92000003,HMPV,1,0,5412900
2021/22,2022,22,20220530,20220605,S92000003,Influenza (All),18,0.3,5412900
2021/22,2022,22,20220530,20220605,S92000003,Influenza A,18,0.3,5412900
2021/22,2022,22,20220530,20220605,S92000003,Influenza B,0,0,5412900
2021/22,2022,22,20220530,20220605,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,22,20220530,20220605,S92000003,Parainfluenza (Any Type),25,0.5,5412900
2021/22,2022,22,20220530,20220605,S92000003,RSV,46,0.8,5412900
2021/22,2022,22,20220530,20220605,S92000003,Rhinovirus,76,1.4,5412900
2021/22,2022,22,20220530,20220605,S92000003,Seasonal coronavirus,8,0.1,5412900
2021/22,2022,23,20220606,20220612,S92000003,Adenovirus,22,0.4,5412900
2021/22,2022,23,20220606,20220612,S92000003,COVID-19,428,7.9,5412900
2021/22,2022,23,20220606,20220612,S92000003,HMPV,3,0.1,5412900
2021/22,2022,23,20220606,20220612,S92000003,Influenza (All),15,0.3,5412900
2021/22,2022,23,20220606,20220612,S92000003,Influenza A,15,0.3,5412900
2021/22,2022,23,20220606,20220612,S92000003,Influenza B,0,0,5412900
2021/22,2022,23,20220606,20220612,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,23,20220606,20220612,S92000003,Parainfluenza (Any Type),24,0.4,5412900
2021/22,2022,23,20220606,20220612,S92000003,RSV,43,0.8,5412900
2021/22,2022,23,20220606,20220612,S92000003,Rhinovirus,78,1.4,5412900
2021/22,2022,23,20220606,20220612,S92000003,Seasonal coronavirus,2,0,5412900
2021/22,2022,24,20220613,20220619,S92000003,Adenovirus,22,0.4,5412900
2021/22,2022,24,20220613,20220619,S92000003,COVID-19,507,9.4,5412900
2021/22,2022,24,20220613,20220619,S92000003,HMPV,0,0,5412900
2021/22,2022,24,20220613,20220619,S92000003,Influenza (All),9,0.2,5412900
2021/22,2022,24,20220613,20220619,S92000003,Influenza A,8,0.1,5412900
2021/22,2022,24,20220613,20220619,S92000003,Influenza B,1,0,5412900
2021/22,2022,24,20220613,20220619,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,24,20220613,20220619,S92000003,Parainfluenza (Any Type),28,0.5,5412900
2021/22,2022,24,20220613,20220619,S92000003,RSV,81,1.5,5412900
2021/22,2022,24,20220613,20220619,S92000003,Rhinovirus,92,1.7,5412900
2021/22,2022,24,20220613,20220619,S92000003,Seasonal coronavirus,6,0.1,5412900
2021/22,2022,25,20220620,20220626,S92000003,Adenovirus,31,0.6,5412900
2021/22,2022,25,20220620,20220626,S92000003,COVID-19,727,13.4,5412900
2021/22,2022,25,20220620,20220626,S92000003,HMPV,0,0,5412900
2021/22,2022,25,20220620,20220626,S92000003,Influenza (All),8,0.1,5412900
2021/22,2022,25,20220620,20220626,S92000003,Influenza A,8,0.1,5412900
2021/22,2022,25,20220620,20220626,S92000003,Influenza B,0,0,5412900
2021/22,2022,25,20220620,20220626,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,25,20220620,20220626,S92000003,Parainfluenza (Any Type),35,0.6,5412900
2021/22,2022,25,20220620,20220626,S92000003,RSV,70,1.3,5412900
2021/22,2022,25,20220620,20220626,S92000003,Rhinovirus,76,1.4,5412900
2021/22,2022,25,20220620,20220626,S92000003,Seasonal coronavirus,5,0.1,5412900
2021/22,2022,26,20220627,20220703,S92000003,Adenovirus,29,0.5,5412900
2021/22,2022,26,20220627,20220703,S92000003,COVID-19,786,14.5,5412900
2021/22,2022,26,20220627,20220703,S92000003,HMPV,2,0,5412900
2021/22,2022,26,20220627,20220703,S92000003,Influenza (All),9,0.2,5412900
2021/22,2022,26,20220627,20220703,S92000003,Influenza A,9,0.2,5412900
2021/22,2022,26,20220627,20220703,S92000003,Influenza B,0,0,5412900
2021/22,2022,26,20220627,20220703,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,26,20220627,20220703,S92000003,Parainfluenza (Any Type),17,0.3,5412900
2021/22,2022,26,20220627,20220703,S92000003,RSV,94,1.7,5412900
2021/22,2022,26,20220627,20220703,S92000003,Rhinovirus,70,1.3,5412900
2021/22,2022,26,20220627,20220703,S92000003,Seasonal coronavirus,1,0,5412900
2021/22,2022,27,20220704,20220710,S92000003,Adenovirus,25,0.5,5412900
2021/22,2022,27,20220704,20220710,S92000003,COVID-19,785,14.5,5412900
2021/22,2022,27,20220704,20220710,S92000003,HMPV,4,0.1,5412900
2021/22,2022,27,20220704,20220710,S92000003,Influenza (All),11,0.2,5412900
2021/22,2022,27,20220704,20220710,S92000003,Influenza A,11,0.2,5412900
2021/22,2022,27,20220704,20220710,S92000003,Influenza B,0,0,5412900
2021/22,2022,27,20220704,20220710,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,27,20220704,20220710,S92000003,Parainfluenza (Any Type),20,0.4,5412900
2021/22,2022,27,20220704,20220710,S92000003,RSV,100,1.8,5412900
2021/22,2022,27,20220704,20220710,S92000003,Rhinovirus,62,1.1,5412900
2021/22,2022,27,20220704,20220710,S92000003,Seasonal coronavirus,4,0.1,5412900
2021/22,2022,28,20220711,20220717,S92000003,Adenovirus,21,0.4,5412900
2021/22,2022,28,20220711,20220717,S92000003,COVID-19,701,13,5412900
2021/22,2022,28,20220711,20220717,S92000003,HMPV,2,0,5412900
2021/22,2022,28,20220711,20220717,S92000003,Influenza (All),13,0.2,5412900
2021/22,2022,28,20220711,20220717,S92000003,Influenza A,13,0.2,5412900
2021/22,2022,28,20220711,20220717,S92000003,Influenza B,0,0,5412900
2021/22,2022,28,20220711,20220717,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,28,20220711,20220717,S92000003,Parainfluenza (Any Type),17,0.3,5412900
2021/22,2022,28,20220711,20220717,S92000003,RSV,106,2,5412900
2021/22,2022,28,20220711,20220717,S92000003,Rhinovirus,50,0.9,5412900
2021/22,2022,28,20220711,20220717,S92000003,Seasonal coronavirus,2,0,5412900
2021/22,2022,29,20220718,20220724,S92000003,Adenovirus,16,0.3,5412900
2021/22,2022,29,20220718,20220724,S92000003,COVID-19,612,11.3,5412900
2021/22,2022,29,20220718,20220724,S92000003,HMPV,1,0,5412900
2021/22,2022,29,20220718,20220724,S92000003,Influenza (All),7,0.1,5412900
2021/22,2022,29,20220718,20220724,S92000003,Influenza A,7,0.1,5412900
2021/22,2022,29,20220718,20220724,S92000003,Influenza B,0,0,5412900
2021/22,2022,29,20220718,20220724,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,29,20220718,20220724,S92000003,Parainfluenza (Any Type),8,0.1,5412900
2021/22,2022,29,20220718,20220724,S92000003,RSV,94,1.7,5412900
2021/22,2022,29,20220718,20220724,S92000003,Rhinovirus,36,0.7,5412900
2021/22,2022,29,20220718,20220724,S92000003,Seasonal coronavirus,1,0,5412900
2021/22,2022,30,20220725,20220731,S92000003,Adenovirus,26,0.5,5412900
2021/22,2022,30,20220725,20220731,S92000003,COVID-19,455,8.4,5412900
2021/22,2022,30,20220725,20220731,S92000003,HMPV,1,0,5412900
2021/22,2022,30,20220725,20220731,S92000003,Influenza (All),20,0.4,5412900
2021/22,2022,30,20220725,20220731,S92000003,Influenza A,20,0.4,5412900
2021/22,2022,30,20220725,20220731,S92000003,Influenza B,0,0,5412900
2021/22,2022,30,20220725,20220731,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,30,20220725,20220731,S92000003,Parainfluenza (Any Type),16,0.3,5412900
2021/22,2022,30,20220725,20220731,S92000003,RSV,100,1.8,5412900
2021/22,2022,30,20220725,20220731,S92000003,Rhinovirus,35,0.6,5412900
2021/22,2022,30,20220725,20220731,S92000003,Seasonal coronavirus,0,0,5412900
2021/22,2022,31,20220801,20220807,S92000003,Adenovirus,28,0.5,5412900
2021/22,2022,31,20220801,20220807,S92000003,COVID-19,343,6.3,5412900
2021/22,2022,31,20220801,20220807,S92000003,HMPV,1,0,5412900
2021/22,2022,31,20220801,20220807,S92000003,Influenza (All),21,0.4,5412900
2021/22,2022,31,20220801,20220807,S92000003,Influenza A,20,0.4,5412900
2021/22,2022,31,20220801,20220807,S92000003,Influenza B,1,0,5412900
2021/22,2022,31,20220801,20220807,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,31,20220801,20220807,S92000003,Parainfluenza (Any Type),10,0.2,5412900
2021/22,2022,31,20220801,20220807,S92000003,RSV,122,2.3,5412900
2021/22,2022,31,20220801,20220807,S92000003,Rhinovirus,41,0.8,5412900
2021/22,2022,31,20220801,20220807,S92000003,Seasonal coronavirus,1,0,5412900
2021/22,2022,32,20220808,20220814,S92000003,Adenovirus,29,0.5,5412900
2021/22,2022,32,20220808,20220814,S92000003,COVID-19,301,5.6,5412900
2021/22,2022,32,20220808,20220814,S92000003,HMPV,1,0,5412900
2021/22,2022,32,20220808,20220814,S92000003,Influenza (All),22,0.4,5412900
2021/22,2022,32,20220808,20220814,S92000003,Influenza A,22,0.4,5412900
2021/22,2022,32,20220808,20220814,S92000003,Influenza B,0,0,5412900
2021/22,2022,32,20220808,20220814,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,32,20220808,20220814,S92000003,Parainfluenza (Any Type),6,0.1,5412900
2021/22,2022,32,20220808,20220814,S92000003,RSV,91,1.7,5412900
2021/22,2022,32,20220808,20220814,S92000003,Rhinovirus,32,0.6,5412900
2021/22,2022,32,20220808,20220814,S92000003,Seasonal coronavirus,1,0,5412900
2021/22,2022,33,20220815,20220821,S92000003,Adenovirus,23,0.4,5412900
2021/22,2022,33,20220815,20220821,S92000003,COVID-19,249,4.6,5412900
2021/22,2022,33,20220815,20220821,S92000003,HMPV,2,0,5412900
2021/22,2022,33,20220815,20220821,S92000003,Influenza (All),21,0.4,5412900
2021/22,2022,33,20220815,20220821,S92000003,Influenza A,21,0.4,5412900
2021/22,2022,33,20220815,20220821,S92000003,Influenza B,0,0,5412900
2021/22,2022,33,20220815,20220821,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,33,20220815,20220821,S92000003,Parainfluenza (Any Type),10,0.2,5412900
2021/22,2022,33,20220815,20220821,S92000003,RSV,73,1.3,5412900
2021/22,2022,33,20220815,20220821,S92000003,Rhinovirus,39,0.7,5412900
2021/22,2022,33,20220815,20220821,S92000003,Seasonal coronavirus,3,0.1,5412900
2021/22,2022,34,20220822,20220828,S92000003,Adenovirus,26,0.5,5412900
2021/22,2022,34,20220822,20220828,S92000003,COVID-19,261,4.8,5412900
2021/22,2022,34,20220822,20220828,S92000003,HMPV,0,0,5412900
2021/22,2022,34,20220822,20220828,S92000003,Influenza (All),25,0.5,5412900
2021/22,2022,34,20220822,20220828,S92000003,Influenza A,25,0.5,5412900
2021/22,2022,34,20220822,20220828,S92000003,Influenza B,0,0,5412900
2021/22,2022,34,20220822,20220828,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,34,20220822,20220828,S92000003,Parainfluenza (Any Type),6,0.1,5412900
2021/22,2022,34,20220822,20220828,S92000003,RSV,72,1.3,5412900
2021/22,2022,34,20220822,20220828,S92000003,Rhinovirus,49,0.9,5412900
2021/22,2022,34,20220822,20220828,S92000003,Seasonal coronavirus,1,0,5412900
2021/22,2022,35,20220829,20220904,S92000003,Adenovirus,40,0.7,5412900
2021/22,2022,35,20220829,20220904,S92000003,COVID-19,273,5,5412900
2021/22,2022,35,20220829,20220904,S92000003,HMPV,1,0,5412900
2021/22,2022,35,20220829,20220904,S92000003,Influenza (All),24,0.4,5412900
2021/22,2022,35,20220829,20220904,S92000003,Influenza A,22,0.4,5412900
2021/22,2022,35,20220829,20220904,S92000003,Influenza B,2,0,5412900
2021/22,2022,35,20220829,20220904,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,35,20220829,20220904,S92000003,Parainfluenza (Any Type),17,0.3,5412900
2021/22,2022,35,20220829,20220904,S92000003,RSV,108,2,5412900
2021/22,2022,35,20220829,20220904,S92000003,Rhinovirus,104,1.9,5412900
2021/22,2022,35,20220829,20220904,S92000003,Seasonal coronavirus,0,0,5412900
2021/22,2022,36,20220905,20220911,S92000003,Adenovirus,24,0.4,5412900
2021/22,2022,36,20220905,20220911,S92000003,COVID-19,282,5.2,5412900
2021/22,2022,36,20220905,20220911,S92000003,HMPV,0,0,5412900
2021/22,2022,36,20220905,20220911,S92000003,Influenza (All),26,0.5,5412900
2021/22,2022,36,20220905,20220911,S92000003,Influenza A,22,0.4,5412900
2021/22,2022,36,20220905,20220911,S92000003,Influenza B,4,0.1,5412900
2021/22,2022,36,20220905,20220911,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,36,20220905,20220911,S92000003,Parainfluenza (Any Type),15,0.3,5412900
2021/22,2022,36,20220905,20220911,S92000003,RSV,114,2.1,5412900
2021/22,2022,36,20220905,20220911,S92000003,Rhinovirus,88,1.6,5412900
2021/22,2022,36,20220905,20220911,S92000003,Seasonal coronavirus,2,0,5412900
2021/22,2022,37,20220912,20220918,S92000003,Adenovirus,36,0.7,5412900
2021/22,2022,37,20220912,20220918,S92000003,COVID-19,264,4.9,5412900
2021/22,2022,37,20220912,20220918,S92000003,HMPV,1,0,5412900
2021/22,2022,37,20220912,20220918,S92000003,Influenza (All),42,0.8,5412900
2021/22,2022,37,20220912,20220918,S92000003,Influenza A,39,0.7,5412900
2021/22,2022,37,20220912,20220918,S92000003,Influenza B,3,0.1,5412900
2021/22,2022,37,20220912,20220918,S92000003,Mycoplasma pneumoniae,0,0,5412900
2021/22,2022,37,20220912,20220918,S92000003,Parainfluenza (Any Type),17,0.3,5412900
2021/22,2022,37,20220912,20220918,S92000003,RSV,129,2.4,5412900
2021/22,2022,37,20220912,20220918,S92000003,Rhinovirus,87,1.6,5412900
2021/22,2022,37,20220912,20220918,S92000003,Seasonal coronavirus,1,0,5412900
2021/22,2022,38,20220919,20220925,S92000003,Adenovirus,36,0.7,5412900
2021/22,2022,38,20220919,20220925,S92000003,COVID-19,238,4.4,5412900
2021/22,2022,38,20220919,20220925,S92000003,HMPV,2,0,5412900
